order_id,order_date,promised_date,delivered_date,region,category,carrier,units_ordered,units_shipped,unit_price
ORD-0001,2025-06-17,2025-06-24,2025-06-24,West,Finished Goods,BlueLine,115,113,98.73
ORD-0002,2025-04-25,2025-05-01,2025-05-01,East,Consumables,Atlas,53,53,62.74
ORD-0003,2025-05-07,2025-05-15,2025-05-15,West,Finished Goods,BlueLine,68,68,118.28
ORD-0004,2025-01-04,2025-01-09,2025-01-09,North,Consumables,Atlas,117,117,160.26
ORD-0005,2025-05-20,2025-05-28,2025-05-28,South,Finished Goods,BlueLine,44,44,41.71
ORD-0006,2025-04-29,2025-05-07,2025-05-07,North,Finished Goods,BlueLine,28,28,60.12
ORD-0007,2025-02-19,2025-02-23,2025-02-23,South,Consumables,CargoOne,19,19,19.72
ORD-0008,2025-05-14,2025-05-22,2025-05-22,West,Components,BlueLine,47,47,160.34
ORD-0009,2025-02-14,2025-02-18,2025-02-18,North,Finished Goods,CargoOne,99,97,124.22
ORD-0010,2025-03-02,2025-03-10,2025-03-10,South,Components,BlueLine,6,4,36.52
ORD-0011,2025-01-19,2025-01-23,2025-01-22,South,Finished Goods,CargoOne,44,44,84.85
ORD-0012,2025-03-01,2025-03-05,2025-03-04,South,Consumables,BlueLine,101,101,72.96
ORD-0013,2025-06-24,2025-06-30,2025-06-30,South,Components,BlueLine,28,28,45.93
ORD-0014,2025-05-04,2025-05-09,2025-05-09,South,Components,BlueLine,109,99,117.12
ORD-0015,2025-04-04,2025-04-10,2025-04-10,North,Finished Goods,BlueLine,6,6,174.25
ORD-0016,2025-03-10,2025-03-16,2025-03-16,West,Finished Goods,Atlas,119,117,38.33
ORD-0017,2025-03-17,2025-03-20,2025-03-21,South,Finished Goods,CargoOne,66,66,130.51
ORD-0018,2025-04-28,2025-05-05,2025-05-06,South,Consumables,BlueLine,103,103,56.52
ORD-0019,2025-05-02,2025-05-07,2025-05-09,East,Finished Goods,CargoOne,18,13,19.60
ORD-0020,2025-02-25,2025-03-03,2025-03-03,East,Consumables,CargoOne,78,77,27.43
ORD-0021,2025-03-07,2025-03-13,2025-03-13,East,Consumables,Atlas,73,68,145.10
